onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
11.0	0.0	dative 1-3	1	11000	fake	real	real	real	2145
50.36	0.0	genitive 2-2	2	50360	fake	fake	real	real	1897
87.707	0.0	dative 1-3	1	87707	fake	real	real	real	2169
126.444	0.0	genitive 2-2	2	126444	real	real	fake	fake	2135
165.383	0.0	genitive 2-2	2	165383	real	fake	fake	fake	1962
204.549	0.0	dative 1-3	1	204549	real	real	real	real	2264
241.369	0.0	genitive 2-2	2	241369	fake	fake	fake	real	2209
279.223	0.0	dative 1-3	1	279223	fake	fake	fake	fake	2226
317.313	0.0	genitive 2-2	2	317313	real	real	fake	fake	2249
354.216	0.0	genitive 2-2	2	354216	real	real	fake	fake	2264
393.78	0.0	dative 1-3	1	393780	fake	fake	fake	real	2203
434.835	0.0	dative 1-3	1	434835	real	real	fake	fake	2158
478.136	0.0	dative 1-3	1	478136	fake	real	real	real	2260
515.523	0.0	genitive 2-2	2	515523	fake	fake	real	real	2186
552.713	0.0	dative 1-3	1	552713	fake	fake	real	real	2235
590.751	0.0	genitive 2-2	2	590751	fake	fake	fake	real	2187
628.949	0.0	genitive 2-2	2	628949	real	real	fake	real	2211
665.62	0.0	dative 1-3	1	665620	real	fake	fake	fake	2018
703.317	0.0	genitive 2-2	2	703317	real	real	real	real	2102
741.755	0.0	genitive 2-2	2	741755	fake	fake	real	real	2187
779.395	0.0	dative 1-3	1	779395	real	real	fake	fake	2119
818.283	0.0	genitive 2-2	2	818283	fake	fake	real	real	2231
856.515	0.0	dative 1-3	1	856515	fake	fake	real	real	2182
894.335	0.0	dative 1-3	1	894335	real	real	fake	fake	2131
