onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
9.946	0.0	genitive 2-2	2	9946	fake	fake	real	fake	2128
52.638	0.0	dative 1-3	1	52638	real	fake	fake	real	2235
88.142	0.0	genitive 2-2	2	88142	fake	fake	real	real	2264
126.723	0.0	dative 1-3	1	126723	fake	fake	fake	fake	2179
164.612	0.0	dative 1-3	1	164612	real	fake	fake	fake	1941
201.858	0.0	genitive 2-2	2	201858	fake	fake	real	real	1989
240.564	0.0	dative 1-3	1	240564	fake	fake	real	fake	1974
300.445	0.0	genitive 2-2	2	300445	real	fake	real	fake	2186
336.583	0.0	dative 1-3	1	336583	fake	real	real	fake	1974
388.71	0.0	genitive 2-2	2	388710	real	real	real	real	2227
429.384	0.0	dative 1-3	1	429384	real	fake	fake	real	2256
468.28	0.0	genitive 2-2	2	468280	real	fake	fake	real	2252
529.904	0.0	dative 1-3	1	529904	real	fake	real	real	2138
568.803	0.0	dative 1-3	1	568803	fake	fake	real	fake	2223
611.851	0.0	genitive 2-2	2	611851	real	real	real	real	2070
656.77	0.0	genitive 2-2	2	656770	real	fake	real	fake	1965
692.859	0.0	dative 1-3	1	692859	fake	fake	real	fake	2057
741.425	0.0	genitive 2-2	2	741425	real	real	fake	fake	2201
780.172	0.0	dative 1-3	1	780172	real	real	fake	fake	2245
816.479	0.0	genitive 2-2	2	816479	fake	fake	fake	real	2280
855.062	0.0	dative 1-3	1	855062	fake	fake	real	real	2199
895.251	0.0	genitive 2-2	2	895251	real	real	fake	fake	2231
930.981	0.0	dative 1-3	1	930981	fake	fake	fake	real	2269
970.854	0.0	genitive 2-2	2	970854	real	real	fake	fake	1925
