onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
113.351	0.0	dative 1-3	1	113351	real	real	fake	fake	1000
157.207	0.0	dative 1-3	1	157207	fake	fake	real	real	1000
192.428	0.0	dative 1-3	1	192428	fake	fake	fake	fake	1000
228.305	0.0	genitive 2-2	2	228305	real	fake	fake	real	1000
263.933	0.0	genitive 2-2	2	263933	real	fake	fake	fake	1000
301.123	0.0	genitive 2-2	2	301123	real	real	fake	fake	1000
334.693	0.0	dative 1-3	1	334693	real	fake	fake	fake	1000
370.226	0.0	genitive 2-2	2	370226	fake	real	fake	real	1000
403.471	0.0	genitive 2-2	2	403471	real	fake	fake	fake	1000
437.743	0.0	genitive 2-2	2	437743	real	real	fake	fake	1000
471.659	0.0	dative 1-3	1	471659	fake	fake	real	real	1000
505.111	0.0	dative 1-3	1	505111	real	real	fake	real	1000
579.89	0.0	dative 1-3	1	579890	real	fake	fake	real	1000
625.04	0.0	genitive 2-2	2	625040	real	real	real	real	1000
658.277	0.0	genitive 2-2	2	658277	fake	fake	fake	fake	1000
692.198	0.0	dative 1-3	1	692198	fake	fake	real	fake	1000
728.119	0.0	genitive 2-2	2	728119	real	fake	fake	fake	1000
760.554	0.0	dative 1-3	1	760554	real	fake	fake	fake	1000
793.823	0.0	genitive 2-2	2	793823	real	real	fake	fake	1000
829.555	0.0	dative 1-3	1	829555	fake	fake	real	fake	1000
862.69	0.0	dative 1-3	1	862690	real	fake	fake	fake	1000
897.544	0.0	genitive 2-2	2	897544	fake	fake	real	real	1000
930.281	0.0	genitive 2-2	2	930281	real	fake	fake	real	1000
968.761	0.0	dative 1-3	1	968761	real	fake	fake	real	1000
